127.0.0.1 - - [20/Jul/2020:09:28:11 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/ HTTP/1.1" 200 36525
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/css/default/core.css.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=bsf HTTP/1.1" 200 136811
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/css/bsf.css.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=bsf HTTP/1.1" 200 10257
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/core.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/js/image-loader.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=bsf HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/components.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/js/tooltip.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=bsf HTTP/1.1" 200 12456
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/js/dropdown.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=bsf HTTP/1.1" 200 3566
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/js/bsf.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=bsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/js/collapse.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=bsf HTTP/1.1" 200 4724
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/components.css.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=primefaces&v=7.0 HTTP/1.1" 200 93262
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/jsf.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=javax.faces&stage=Development HTTP/1.1" 200 146040
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/style_perso.css.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=css HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/javax.faces.resource/script_perso.js.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC?ln=js HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/resources/photo/trapet.png;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC HTTP/1.1" 200 69011
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/resources/photo/margaux.png;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC HTTP/1.1" 200 81300
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/resources/photo/marcel.png;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC HTTP/1.1" 200 15865
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:15 +0200] "GET /Projet_cave/resources/photo/sicilia.jpg;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC HTTP/1.1" 200 73463
